Summary_Sentence,Label,Country_A,Country_B,Country_Pair
"The relations between two nations have been ongoing for centuries, and were officially recognized in 1950.",1,China,Indonesia,China_Indonesia
"However, the diplomatic relationship between the two states was suspended in 1967, the same year Indonesian capitalist dictator Suharto came to power as acting president after Sukarno's forced resignation, and then resumed in 1990.",0,China,Indonesia,China_Indonesia
"China has an embassy in Jakarta and consulates in Surabaya and Medan, while Indonesia has an embassy in Beijing and consulates in Guangzhou, Shanghai and Hong Kong.",1,China,Indonesia,China_Indonesia
"Both countries are among the largest nations in Asia in terms of both area and population, China is the most populous nation on earth, while Indonesia has the 4th largest population in the world.",2,China,Indonesia,China_Indonesia
Both nations are the members of APEC and G-20 major economies.,1,China,Indonesia,China_Indonesia
"
According to a 2014 BBC World Service Poll, the opinion of China among Indonesians remains strongly positive and stable, with 52% of positive view compared to 28% expressing a negative view.",1,China,Indonesia,China_Indonesia
"Poland–Russia relations (Polish: Stosunki polsko-rosyjskie, Russian: Российско-польские отношения) have a long but often turbulent history, dating to the late Middle Ages, when the Kingdom of Poland and Kievan Rus' and later Grand Duchy of Muscovy struggled over control of their borderlands.",0,Poland,Russia,Poland_Russia
"Over centuries, there have been several Polish–Russian Wars, with Poland once occupying Moscow and later Russia controlling much of Poland in the 19th as well as in the 20th century, damaging relations.",0,Poland,Russia,Poland_Russia
"Polish–Russian relations entered a new phase following the fall of communism, 1989–1993.",2,Poland,Russia,Poland_Russia
Since then Polish–Russian relations have at times seen both improvement and deterioration.,2,Poland,Russia,Poland_Russia
"According to a 2013 BBC World Service poll, 19 percent of Poles view Russia's influence positively while 49 percent express a negative view.",0,Poland,Russia,Poland_Russia
"
However, since the Russian annexation of Crimea, over 60-80% Poles are worried over the future conflict with Russia, giving the fact Russia maintains control in Kaliningrad Oblast.",0,Poland,Russia,Poland_Russia
The United States and Russia maintain diplomatic and trade relations.,1,Russia,United States,Russia_United States
"The relationship was generally warm under the Russian President Boris Yeltsin (1991–99) until the NATO bombing of the Federal Republic of Yugoslavia in the spring of 1999, and has since deteriorated significantly.",2,Russia,United States,Russia_United States
"In 2014, relations greatly deteriorated further due to the crisis in Ukraine, Russia's annexation of Crimea in 2014, differences regarding Russian military intervention in the Syrian Civil War, and from the end of 2016 over Russia's alleged interference in the 2016 U.S. elections.",0,Russia,United States,Russia_United States
Mutual sanctions imposed in 2014 remain in place.,0,Russia,United States,Russia_United States
"Relations between the neighboring countries of Iran and the United Arab Emirates (UAE) are deeply historic, dating back centuries prior to the establishment of the modern-day United Arab Emirates; however today it has been described as up-and-down.",2,Iran,United Arab Emirates,Iran_United Arab Emirates
"Both the countries maintain diplomatic relations with each other, having embassies in each other's capitals.",1,Iran,United Arab Emirates,Iran_United Arab Emirates
"
There is a significant community of Iranians in the United Arab Emirates, mostly residing in the emirate of Dubai.",1,Iran,United Arab Emirates,Iran_United Arab Emirates
"An Arabic-speaking native community lives in the southern provinces of Iran, some of whose members share historical ties with the southern shores of the Persian Gulf.",2,Iran,United Arab Emirates,Iran_United Arab Emirates
"Unlike Russia, the Czech Republic is a member of Western institutions including the European Union, NATO and the OECD.",2,Czech Republic,Russia,Czech Republic_Russia
"Therefore, Russia–European Union relations and NATO–Russia relations are playing key role while the Czech Republic is a target of Russian attempts for espionage and propaganda.",0,Czech Republic,Russia,Czech Republic_Russia
"Following the Russian military intervention in Ukraine from 2014, the Czech Republic participates in economic sanctions against Russia.",0,Czech Republic,Russia,Czech Republic_Russia
Ongoing tensions in the late 2010s have been described as the Cold War II.,0,Czech Republic,Russia,Czech Republic_Russia
"
The Czech Republic is also a favorite destination for Russian tourism as well as migration and brain drain from Russia due to high living standards, education and business opportunities in the Czech Republic.",2,Czech Republic,Russia,Czech Republic_Russia
"
Both countries are full members of the Council of Europe and the Organization for Security and Co-operation in Europe.",2,Czech Republic,Russia,Czech Republic_Russia
"The Czech Republic has an embassy in Moscow, and two consulates general (in Saint Petersburg and Yekaterinburg).",1,Czech Republic,Russia,Czech Republic_Russia
"The Russian Federation has an embassy in Prague, and two consulate generals (in Brno and Karlovy Vary).",1,Czech Republic,Russia,Czech Republic_Russia
