Summary_Sentence,Country_A,Country_B,Country_Pair
"After the Israeli Declaration of Independence in 1948 and in the early 1950s, France and Israel maintained close political and military ties.",France,Israel,France_Israel
France was Israel's main weapons supplier until its withdrawal from Algeria in 1962.,France,Israel,France_Israel
"Three days before the outbreak of the Six-Day War in 1967, Charles de Gaulle's government imposed an arms embargo on the region, mostly affecting Israel.",France,Israel,France_Israel
"Under François Mitterrand in the early 1980s, French–Israeli relations improved greatly.",France,Israel,France_Israel
Mitterrand was the first French president to visit Israel while in office.,France,Israel,France_Israel
"After Jacques Chirac was elected  president in 1995, relations declined due to his support of Yasser Arafat during the first stages of the Second Intifada.",France,Israel,France_Israel
"After the election of Nicolas Sarkozy in May 2007, France's new leader said that he would refuse to greet any world leader who does not recognize Israel's right to exist.",France,Israel,France_Israel
France has an embassy in Tel Aviv and a consulate-general in Jerusalem.,France,Israel,France_Israel
Israel has an embassy in Paris and a consulate-general in Marseille.,France,Israel,France_Israel
" The two countries have intimate and frequently cooperative contact; they are related through mutual migration, through shared military history, through a shared system of government, through language, through the Commonwealth of Nations, and their sharing of the same Head of State and monarch.",Canada,United Kingdom,Canada_United Kingdom
" Despite this shared legacy, the two nations have grown apart economically and politically: Britain has not been Canada's largest trading partner since the nineteenth century.",Canada,United Kingdom,Canada_United Kingdom
"Currently Canada and Britain are in different trade blocs, such as NAFTA and the European Union respectively, as well as Britain's independent trade negotiations due to its process of leaving the EU after Brexit.",Canada,United Kingdom,Canada_United Kingdom
" Nonetheless, the two share a defence agreement, NATO and frequently perform military exercises together with Canada hosting the largest British Military Base outside the United Kingdom.",Canada,United Kingdom,Canada_United Kingdom
 Bahrain has an embassy in London and the United Kingdom is one of only four European countries to maintain an embassy in Manama.,Bahrain,United Kingdom,Bahrain_United Kingdom
"Bahrain gained independence from the United Kingdom in 1971 and has since maintained strong diplomatic, military and trade relations.",Bahrain,United Kingdom,Bahrain_United Kingdom
"Japan–United Kingdom relations (日英関係, Nichieikankei) are the bilateral and diplomatic relations between Japan and the United Kingdom.",Japan,United Kingdom,Japan_United Kingdom
Portugal has an embassy in Moscow while Russia has an embassy in Lisbon.,Portugal,Russia,Portugal_Russia
"The countries are the easternmost and westernmost in Europe, and they both have very good relations with each other.",Portugal,Russia,Portugal_Russia
