Summary,URL,Country_Pair
"Relations between France and Algeria span more than five centuries. This large amount of time has led to many changes within the nation of Algeria; subsequently, affecting the relations enormously. Through this time period, Algeria has gone through being part of the Ottoman Empire, being conquered and colonized by France, playing an important role in both world wars, and finally being its own nation. Over time, relations between the nations have suffered, as tension between Algerians and the French has increased. This being said, however, despite its history, both Algeria and France share a long and historically rich relationship. In 1992, relations between Algeria and France began to strengthen. Today the relationship between French and Algeria is strong. France has an Algerian embassy in Paris, and Algeria has a French embassy in Algiers.",https://en.wikipedia.org/wiki/Algeria%E2%80%93France_relations,Algeria–France relations
"Algeria – United States relations are the international relations between the People's Democratic Republic of Algeria and the United States of America. In July 2001, President Abdelaziz Bouteflika became the first Algerian President to visit the White House since 1985. This visit, followed by a second meeting in November 2001, and President Bouteflika's participation at the June 2004 G8 Sea Island Summit, is indicative of the growing relationship between the United States and Algeria.  Since the September 11 attacks in the United States, contacts in key areas of mutual concern, including law enforcement and counter-terrorism cooperation, have intensified. Algeria publicly condemned the terrorist attacks on the United States and has been strongly supportive of the international war against terrorism. The United States and Algeria consult closely on key international and regional issues. The pace and scope of senior-level visits has accelerated.",https://en.wikipedia.org/wiki/Algeria%E2%80%93United_States_relations,Algeria–United States relations
"Algeria–Libya relations are longstanding between the two neighbouring North African Maghreb states, although they are considerably strained by tensions between the revolutionary National Transitional Council (NTC) of Libya, and the single-party autocracy of President Abdelaziz Bouteflika of Algeria. Bilateral relations were generally amicable during Muammar Gaddafi's 41-year rule of Libya.Strong Libyan support for the Polisario Front in the Western Sahara until 1984, and similarly hardline positions on colonialism and Israel, facilitated 1970s Algerian relations with Libya. Libyan inclinations for full-scale political union, however, have obstructed formal political collaboration, because Algeria has consistently backed away from such cooperation with its unpredictable neighbour. The Treaty of Oujda (1984) between Libya and Morocco, which represented a response to Treaty of Fraternity and Concord (1983) between Algeria and Tunisia, temporarily aggravated Algeria—Libya relations by establishing a political divide in the region—Libya and Morocco on one side; and Algeria, Tunisia, and Mauritania on the other.In 1988, Libya was invited to participate in the Inter-Maghrib commission that was responsible for developing the Arab Maghreb Union (UMA). The establishment of UMA in February 1989 marked the first formal political or economic collaboration between the two countries.",https://en.wikipedia.org/wiki/Algeria%E2%80%93Libya_relations,Algeria–Libya relations
"Algeria–Morocco relations have been dominated by several issues since their independence, particularly the 1963 Sand War, the Western Sahara War of 1975-1991, the closing of the Algeria-Morocco border in 1994, and the status of Western Sahara.",https://en.wikipedia.org/wiki/Algeria%E2%80%93Morocco_relations,Algeria–Morocco relations
"Algeria–Turkey relations are foreign relations between Algeria and Turkey. Algeria has an embassy in Ankara, and a general consulate in Istanbul. Turkey has an embassy in Algiers. Both countries are full members of the Union for the Mediterranean.",https://en.wikipedia.org/wiki/Algeria%E2%80%93Turkey_relations,Algeria–Turkey relations
"Algeria–Russia relations (Russian: Российско–алжирские отношения)(Arabic: العلاقات الروسية الجزائرية‎) refers to the bilateral foreign relations between the two countries, Algeria and Russia. Russia has an embassy in Algiers and a consulate in Annaba, and Algeria has an embassy in Moscow. Algeria currently enjoys very strong relations with Russia.",https://en.wikipedia.org/wiki/Algeria%E2%80%93Russia_relations,Algeria–Russia relations
"Algeria–Israel relations refers to the current and historical relations between Algeria and Israel. The two states do not have any official diplomatic relations at all, with Algeria being part of the Arab League boycott of Israel, and officially does not recognise the State of Israel. Algeria refuses entry to any person holding an Israeli passport or any other passport which has a visa from Israel. In 2016, an Algerian high school geography textbook that contained a map that included Israel was withdrawn. In January 2017 an Algerian was arrested after an online video interview with an Israeli official.",https://en.wikipedia.org/wiki/Algeria%E2%80%93Israel_relations,Algeria–Israel relations
"Algeria–Indonesia relations refers to the bilateral relations of Algeria and Indonesia. The relationship between two nations is mostly founded on common religious and anti-colonialism solidarity, as Indonesia and Algeria are Muslim-majority countries that also once fell under colonialism. Algeria recognized Indonesia's role on supporting their country on gaining independence in 1962. Both countries agreed on expanding cooperations and strengthening relations. Algeria has an embassy in Jakarta that also accredited to Singapore and Brunei, while Indonesia has an embassy in Algiers. Both nations are members of the Non-Aligned Movement, Group of 77 and Organisation of Islamic Cooperation (OIC).",https://en.wikipedia.org/wiki/Algeria%E2%80%93Indonesia_relations,Algeria–Indonesia relations
"Algeria–China relations (also, Sino-Algerian relations) refers to the current and historical relationship between Algeria and China. The two states have traditionally strong relations, celebrating the 60th anniversary of the establishment of diplomatic relations in 2018. In 2010, relations were considered the strongest of all Arab-Chinese relations behind Sudanese-Chinese relations. While relations are firmly grounded in commercial ties, diplomatic relations have notably extended into socio-cultural and political spheres.In 2014, the Sino-Algerian bilateral relationship was elevated to a ""Comprehensive Strategic Partnership,"" the first of its kind in the Sino-Arab world. Chinese top political advisor, Yu Zhengsheng, stated the goals of this partnership were to ""enhance exchanges at all levels, cement political mutual trust and promote pragmatic cooperation"" between the two nations. In 2018, Chinese President Xi Jinping echoed similar rhetoric, pledging to help promote further development of the partnership and continue the trend towards closer diplomatic ties.",https://en.wikipedia.org/wiki/Algeria%E2%80%93China_relations,Algeria–China relations
"Angola – United States relations are diplomatic relations between the Republic of Angola and the United States of America. These relations were tense during the Angolan Civil War when the U.S. government backed National Union for the Total Independence of Angola (UNITA) rebels, but have warmed since the Angolan government renounced Communism in 1992.",https://en.wikipedia.org/wiki/Angola%E2%80%93United_States_relations,Angola–United States relations
"Angola–China relations date back to pre-independent Angola. Today they are based on an emerging trade relationship. As of 2011, Angola is China's second biggest trading partner in Africa.",https://en.wikipedia.org/wiki/Angola%E2%80%93China_relations,Angola–China relations
"Angola–Russia relations (Russian: Российско-ангольские отношения) is the relationship between the two countries, the Republic of Angola and the Russian Federation. Russia has an embassy in Luanda. Angola has an embassy in Moscow and an honorary consulate in Saint Petersburg. Angola and the precursor to Russia, the Soviet Union, established relations upon Angola's independence.",https://en.wikipedia.org/wiki/Angola%E2%80%93Russia_relations,Angola–Russia relations
"Angola–Brazil relations refers to the historical and current bilateral relationship between Angola and Brazil.
Brazil was the first country to recognize the independence of Angola, in November 1975. Commercial and economic ties dominate the relations of each country. Both countries are former colonies under the Portuguese Empire; Brazil from the early 16th century until its independence in 1822, and Angola until its independence in 1975.",https://en.wikipedia.org/wiki/Angola%E2%80%93Brazil_relations,Angola–Brazil relations
"Angola–Portugal relations have significantly improved since the Angolan government abandoned communism and nominally embraced democracy in 1991, embracing a pro-U.S. and to a lesser degree pro-Europe foreign policy. Portugal ruled Angola for 400 years, colonizing the territory from 1483 until independence in 1975. Angola's war for independence did not end in a military victory for either side, but was suspended as a result of a coup in Portugal, that replaced the Caetano regime with a  National Salvation Junta. The Portuguese government recognized the authority of the MPLA, under the command of President Agostinho Neto, on December 22, 1976 and established diplomatic relations on March 10. The MPLA broke off relations with Portugal on May 19 but reestablished official contact on September 3 following a meeting between their Foreign Ministers in Cape Verde. UNITA released a communiqué from Paris on November 13, 1978, detailing an anti-UNITA attack by 20,000 troops from Portugal, Cuba, Katanga, East Germany, and the MPLA.   On November 17, 2011, the Portuguese government of Pedro Passos Coelho finalized a loan from the Angolan government of José Eduardo dos Santos to help Portugal deal with its 2010–14 financial crisis.  Portugal remains one of Angola's largest trading partners. In 2015, Portuguese exports to Angola amounted to US$2.45 billion and Angolan exports to Portugal totaled US$1.19 billion.",https://en.wikipedia.org/wiki/Angola%E2%80%93Portugal_relations,Angola–Portugal relations
"Angola–India relations refers to the bilateral ties between the India and the Angola. Both nations are part of the Non-Aligned Movement. Being a member of the African Union, Angola supports India's candidature for a permanent seat in a reformed Security Council. India has an embassy in Luanda, Angola. Angola has an embassy in New Delhi, India.",https://en.wikipedia.org/wiki/Angola%E2%80%93India_relations,Angola–India relations
"Soviet–Angolan relations were close until the Angolan government renounced Marxist-Leninism in 1990 and adopted a pro-Western foreign policy. The close, personal relationship between President Agostinho Neto and Cuban leader Fidel Castro complicated the Soviet Union's involvement in the Angolan Civil War and foiled several assassination attempts against Neto.",https://en.wikipedia.org/wiki/Angola%E2%80%93Soviet_Union_relations,Angola–Soviet Union relations
Angola–Israel relations refers to the historical and current bilateral relationship between Angola and Israel. Angola has an embassy in Tel Aviv and Israel has an embassy in Luanda.,https://en.wikipedia.org/wiki/Angola%E2%80%93Israel_relations,Angola–Israel relations
"Angola–South Africa relations refer to the current and historical relationship between Angola and South Africa. Relations in the post-apartheid era are quite strong as the ruling parties in both states, the African National Congress in South Africa and the MPLA in Angola, fought together during the Angolan Civil War and South African Border War. They fought against UNITA rebels, based in Angola, and the apartheid-era government in South Africa which supported them. Nelson Mandela mediated between the MPLA and UNITA during the final years of the Angolan Civil War. Although South Africa was preponderant in terms of relative capabilities during the late twentieth century, the recent growth of Angola has led to a more balanced relation.",https://en.wikipedia.org/wiki/Angola%E2%80%93South_Africa_relations,Angola–South Africa relations
"Benin–United States relations are the international relations between Benin and the United States. The two nations have had an excellent history of relations in the years since Benin embraced democracy. The U.S. Government continues to assist Benin with the improvement of living standards that are key to the ultimate success of Benin's experiment with democratic government and economic liberalization, and are consistent with U.S. values and national interest in reducing poverty and promoting growth. The bulk of the U.S. effort in support of consolidating democracy in Benin is focused on long-term human resource development through U.S. Agency for International Development (USAID) programs.",https://en.wikipedia.org/wiki/Benin%E2%80%93United_States_relations,Benin–United States relations
